TIME,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load
18:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7520
18:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7503
18:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7518
18:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7501
18:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7510
18:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,2450,3000,0,7501
18:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7505
18:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7503
18:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7503
18:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7503
18:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7511
18:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,2.12,5950,3000,0,7514
19:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,764
19:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,756
19:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,763
19:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,760
19:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,757
19:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,755
19:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,756
19:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,794
19:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,796
19:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2511
19:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2505
19:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2506
20:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2498
20:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2500
20:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,2507
20:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,824
20:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,825
20:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,2050,1500,0,839
20:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,828
20:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,2501
20:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,2493
20:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,2495
20:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,2499
20:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,818
21:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,818
21:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,813
21:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,813
21:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,775
21:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,774
21:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,719
21:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,714
21:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,770
21:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,779
21:45:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,771
21:50:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,779
21:55:00,0.25,0.21,0.11,0.02,0.01,1,0,0,25,10,1.47,550,1500,0,744
22:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,627
22:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,628
22:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,631
22:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,630
22:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,629
22:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,632
22:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,628
22:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,631
22:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,641
22:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,633
22:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,630
22:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.7,300,400,0,634
23:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,400,0,335
23:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,400,0,329
23:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,400,0,330
23:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,400,0,331
